                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                 1.2764,                 1.0299,                 1.3579,                0.61725,                 0.6375,                 0.5783,                0.26425,                 1.9854,                 1.5037,                 1.9444,              0.0014654,              0.0014654,              0.0014654
                     84,                 1.2596,                 1.0126,                 1.3409,                0.65585,                0.59555,                0.57997,                0.25591,                 2.0975,                 1.3923,                 1.9681,              0.0014588,              0.0014588,              0.0014588
                     85,                  1.324,                 1.0406,                 1.3879,                 0.5868,                0.62133,                0.57717,                0.26211,                  1.994,                 1.4854,                 1.8473,              0.0014522,              0.0014522,              0.0014522
                     86,                 1.2747,                 1.0471,                 1.3466,                0.56724,                  0.675,                0.52225,                0.23229,                 1.9392,                 1.6402,                 1.8505,              0.0014456,              0.0014456,              0.0014456
                     87,                 1.2482,                0.99042,                 1.3338,                0.54146,                0.62734,                0.56744,                0.23983,                 2.1204,                  1.643,                 1.9777,               0.001439,               0.001439,               0.001439
                     88,                  1.268,                  1.019,                 1.3573,                0.57811,                 0.6375,                0.53708,                0.24239,                 1.9671,                 1.5392,                 1.8632,              0.0014324,              0.0014324,              0.0014324
                     89,                 1.2574,                 1.0016,                 1.3392,                0.66223,                  0.625,                0.58824,                0.26607,                 2.0118,                 1.4465,                 1.9187,              0.0014258,              0.0014258,              0.0014258
                     90,                 1.2596,                0.98325,                 1.3553,                0.53544,                 0.5875,                0.48716,                0.21665,                 1.9553,                 1.7557,                 1.8098,              0.0014192,              0.0014192,              0.0014192
                     91,                 1.2476,                 1.0146,                 1.3613,                0.56794,                0.59375,                0.52887,                0.22549,                 2.0383,                 1.4973,                 2.0076,              0.0014126,              0.0014126,              0.0014126
                     92,                  1.211,                0.98982,                 1.3136,                 0.6483,                 0.6625,                0.64166,                0.28179,                 1.9783,                 1.4272,                 1.9525,               0.001406,               0.001406,               0.001406
                     93,                 1.2532,                0.99387,                 1.3383,                0.66424,                0.61875,                0.59134,                0.25536,                 2.0344,                 1.4765,                 1.9051,              0.0013994,              0.0013994,              0.0013994
                     94,                 1.2287,                0.97923,                 1.3287,                0.64348,                0.55276,                0.56176,                0.23374,                 2.1633,                 1.3923,                 2.0048,              0.0013928,              0.0013928,              0.0013928
                     95,                 1.2501,                 0.9631,                 1.3376,                0.67347,                0.69375,                0.61409,                 0.2611,                  2.085,                 1.3195,                 1.9295,              0.0013862,              0.0013862,              0.0013862
                     96,                 1.2086,                0.94379,                 1.3426,                0.62572,                0.61649,                0.57355,                 0.2674,                 2.1967,                 1.4839,                 2.0901,              0.0013796,              0.0013796,              0.0013796
                     97,                 1.2317,                0.96558,                 1.3401,                0.61907,                0.60625,                0.58602,                0.23707,                 2.1605,                 1.4603,                 2.0805,               0.001373,               0.001373,               0.001373
                     98,                 1.2336,                0.99179,                 1.3486,                0.62213,                0.60625,                0.56409,                0.27056,                 2.0871,                 1.4229,                 2.0042,              0.0013664,              0.0013664,              0.0013664
                     99,                 1.2309,                0.94407,                 1.3323,                 0.5326,                0.56975,                0.48852,                0.22283,                 1.9923,                 1.5623,                  1.859,              0.0013598,              0.0013598,              0.0013598
                    100,                 1.2523,                 0.9737,                 1.3515,                0.64819,                  0.675,                0.62069,                0.24549,                  2.099,                 1.4059,                 1.9875,              0.0013532,              0.0013532,              0.0013532
                    101,                  1.248,                0.99262,                 1.3477,                0.64514,                0.69311,                0.61735,                0.26249,                 2.1065,                 1.3549,                 1.9627,              0.0013466,              0.0013466,              0.0013466
                    102,                 1.1961,                0.93748,                 1.3118,                0.63988,                0.64375,                0.58521,                0.25916,                 1.9785,                 1.4167,                 1.8428,                0.00134,                0.00134,                0.00134
                    103,                  1.187,                0.91252,                 1.3103,                0.69802,                 0.6375,                0.65166,                0.29868,                 2.0065,                 1.4108,                 1.9145,              0.0013334,              0.0013334,              0.0013334
                    104,                 1.1894,                0.92558,                 1.3169,                0.66171,                  0.625,                0.60726,                0.26448,                 1.9801,                 1.4529,                 1.8834,              0.0013268,              0.0013268,              0.0013268
                    105,                 1.2032,                 0.9367,                 1.3313,                0.61137,                0.59976,                0.57479,                0.26059,                 2.0425,                 1.6321,                 1.9151,              0.0013202,              0.0013202,              0.0013202
                    106,                 1.2242,                0.93774,                 1.3262,                0.63004,                0.61875,                 0.5624,                0.25132,                 2.0528,                 1.4884,                 1.8821,              0.0013136,              0.0013136,              0.0013136
                    107,                 1.1895,                0.94375,                 1.3153,                0.63145,                0.55625,                0.49798,                0.20634,                 2.2268,                 1.6307,                 2.0744,               0.001307,               0.001307,               0.001307
                    108,                 1.1916,                0.90917,                 1.3125,                0.61458,                   0.55,                0.51184,                0.22066,                 2.0666,                  1.649,                 1.8932,              0.0013004,              0.0013004,              0.0013004
                    109,                 1.2147,                0.94728,                 1.3242,                0.63355,                  0.525,                0.50897,                 0.2197,                 1.9952,                 1.5937,                 1.8809,              0.0012938,              0.0012938,              0.0012938
                    110,                 1.1948,                0.94275,                 1.3061,                0.60095,                0.61875,                 0.5222,                0.21552,                  2.111,                 1.4915,                 1.9225,              0.0012872,              0.0012872,              0.0012872
                    111,                 1.1651,                0.92488,                 1.3109,                0.60772,                0.61969,                0.53134,                0.23607,                  1.943,                 1.5297,                  1.825,              0.0012806,              0.0012806,              0.0012806
                    112,                 1.2128,                0.92088,                 1.3333,                0.54738,                0.61225,                0.51498,                0.22316,                 2.0492,                 1.5666,                 1.8831,               0.001274,               0.001274,               0.001274
                    113,                 1.1931,                0.91244,                 1.3139,                0.65407,                  0.625,                0.56163,                0.25116,                 2.0155,                 1.7493,                  1.895,              0.0012674,              0.0012674,              0.0012674
                    114,                 1.1682,                0.91418,                 1.3217,                0.59409,                0.61875,                0.55314,                0.24359,                 2.1134,                 1.4715,                 1.9298,              0.0012608,              0.0012608,              0.0012608
                    115,                 1.2017,                0.93192,                 1.3176,                0.56848,                    0.6,                0.55364,                0.22561,                  2.115,                 1.5343,                 1.8802,              0.0012542,              0.0012542,              0.0012542
                    116,                 1.2074,                0.93712,                 1.3164,                 0.6068,                0.53125,                0.53886,                0.23666,                 2.0188,                 1.4479,                 1.8523,              0.0012476,              0.0012476,              0.0012476
                    117,                 1.1823,                 0.9346,                 1.3006,                 0.5964,                   0.65,                0.59937,                0.27658,                 1.9139,                 1.4165,                 1.8169,               0.001241,               0.001241,               0.001241
                    118,                 1.1686,                0.90112,                 1.3015,                0.65558,                0.60625,                0.54735,                0.25665,                 2.0383,                 1.4826,                 1.9143,              0.0012344,              0.0012344,              0.0012344
