                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     95,                0.75859,                0.41565,                0.85396,                0.73316,                0.73108,                0.75105,                0.39293,                 1.5854,                 1.0032,                 1.2376,              0.0006438,              0.0006438,              0.0006438
                     96,                0.76317,                0.42247,                0.85949,                 0.7677,                0.66761,                0.74554,                0.39277,                 1.5637,                 1.0102,                 1.2312,             0.00063279,             0.00063279,             0.00063279
                     97,                0.74834,                0.41342,                0.85013,                0.76006,                0.70854,                0.76795,                 0.3997,                 1.5623,                0.95292,                 1.2208,             0.00062179,             0.00062179,             0.00062179
                     98,                0.75854,                0.41644,                 0.8575,                0.75217,                0.73261,                0.75365,                 0.3969,                 1.5595,                0.93571,                 1.2275,             0.00061079,             0.00061079,             0.00061079
                     99,                0.74616,                0.41687,                0.85558,                0.77051,                0.70621,                0.76016,                0.39489,                 1.5605,                0.95612,                 1.2265,             0.00059979,             0.00059979,             0.00059979
                    100,                0.74474,                0.41762,                0.85549,                0.79762,                0.68184,                0.76917,                0.39407,                 1.5798,                0.94182,                 1.2334,             0.00058878,             0.00058878,             0.00058878
                    101,                0.73152,                0.41365,                0.85022,                0.79594,                0.68791,                0.76686,                0.40589,                 1.5571,                 1.0067,                 1.2321,             0.00057778,             0.00057778,             0.00057778
                    102,                0.74128,                0.41251,                0.85305,                0.79357,                0.66814,                0.75472,                0.39863,                 1.5643,                0.99279,                 1.2361,             0.00056678,             0.00056678,             0.00056678
                    103,                0.75254,                0.41159,                0.85373,                0.78256,                0.67989,                0.75217,                0.39348,                 1.5739,                  1.001,                 1.2463,             0.00055578,             0.00055578,             0.00055578
                    104,                0.73663,                0.41146,                0.85317,                0.77892,                0.72253,                0.76384,                 0.4036,                 1.5675,                0.96065,                 1.2394,             0.00054478,             0.00054478,             0.00054478
                    105,                  0.725,                0.39538,                0.85911,                0.80603,                0.65237,                0.74479,                0.39122,                 1.5864,                0.94826,                 1.2577,             0.00053377,             0.00053377,             0.00053377
                    106,                0.71868,                 0.3994,                0.85026,                0.80516,                0.68098,                0.75582,                0.38889,                 1.5818,                0.94373,                 1.2644,             0.00052277,             0.00052277,             0.00052277
                    107,                0.70378,                0.39363,                0.84956,                0.76246,                0.71576,                0.76841,                0.39762,                 1.5711,                0.94357,                 1.2411,             0.00051177,             0.00051177,             0.00051177
                    108,                0.71917,                  0.402,                0.85248,                0.74897,                0.68424,                0.73928,                0.38606,                 1.5792,                0.98143,                 1.2412,             0.00050077,             0.00050077,             0.00050077
                    109,                0.70387,                0.40209,                0.84537,                0.72231,                0.75924,                0.77683,                 0.4083,                 1.5558,                0.91798,                 1.2403,             0.00048976,             0.00048976,             0.00048976
                    110,                0.70005,                 0.3916,                0.84513,                0.73104,                 0.7088,                0.75923,                0.39363,                 1.5793,                0.97325,                 1.2507,             0.00047876,             0.00047876,             0.00047876
                    111,                0.71897,                0.40486,                0.85046,                0.76938,                0.66315,                0.74733,                0.38693,                 1.5728,                0.93997,                 1.2435,             0.00046776,             0.00046776,             0.00046776
